Labour/sq.yard,Pressure ,cost,Load bearing capacity,Quantity,Efficiency
13,48,332,27,26,46.874
8,41,122,100,13,32.345
5,92,153,41,24,34.761
9,80,266,27,19,42.727000000000004
11,61,444,102,13,67.717
7,98,105,79,35,37.038000000000004
5,76,351,89,14,57.952999999999996
9,121,269,40,43,52.332
9,46,93,115,37,34.892
5,101,546,14,28,72.46399999999998
14,105,136,129,40,48.705999999999996
6,66,68,33,16,21.258000000000003
9,13,127,15,18,19.237
5,33,288,43,31,42.645
15,96,489,110,27,79.38799999999999
11,66,154,97,28,40.142
8,38,85,69,20,25.063
10,55,149,95,16,36.583
9,47,598,96,19,81.401
7,114,183,22,13,36.744
10,36,458,94,48,69.266
3,19,418,13,31,50.071000000000005
7,98,391,129,42,73.257
10,75,269,11,31,41.888000000000005
11,121,179,88,12,45.973
11,30,309,115,20,53.00900000000001
4,45,121,117,11,34.32
5,100,243,72,47,51.54600000000001
9,14,592,26,14,67.27199999999999
7,65,471,77,33,69.678
9,120,458,21,46,69.192
15,109,524,112,16,83.382
14,84,575,114,11,85.208
3,97,217,106,33,51.146
9,73,569,44,50,78.417
15,67,484,87,17,71.339
4,19,335,83,36,51.473
6,87,67,105,33,34.976
7,56,512,20,45,66.793
14,66,199,48,21,37.754000000000005
7,13,255,90,50,45.543000000000006
7,55,589,24,23,72.35600000000001
4,69,342,110,25,60.181000000000004
10,90,193,44,33,40.480000000000004
8,81,181,50,49,40.72800000000001
14,42,502,71,31,69.75300000000001
6,93,409,33,41,61.806
12,130,324,116,42,68.962
14,47,254,86,47,49.138999999999996
12,38,509,111,31,75.01599999999999
8,26,396,70,35,56.997
8,82,170,34,16,33.726
9,70,574,22,12,71.19200000000001
10,59,368,11,36,50.626
12,94,285,33,12,46.486999999999995
10,17,308,66,42,47.558
6,52,374,11,45,51.131
5,115,586,14,16,76.69999999999999
13,30,311,70,26,48.255
5,91,426,123,25,72.997
11,73,119,120,19,39.338
8,23,401,88,40,60.089000000000006
4,75,414,77,46,66.358
11,97,236,83,14,48.534
10,15,323,20,35,42.028000000000006
13,48,460,25,41,61.327
11,81,307,59,28,52.395
8,75,196,28,11,34.165
14,40,169,53,38,34.381
14,80,316,128,41,63.975
10,32,501,115,28,73.495
3,49,192,69,39,38.957
4,97,95,109,16,37.281000000000006
11,46,546,129,41,83.12100000000001
9,81,312,82,15,54.163
10,91,127,71,17,35.536
12,54,63,61,41,26.516
12,110,524,19,45,74.58900000000001
14,71,468,118,11,73.413
9,47,97,38,17,23.022000000000002
3,22,568,116,14,76.936
5,40,127,112,33,36.404
15,89,342,18,47,54.149
12,70,533,79,21,75.802
11,38,260,106,21,47.937000000000005
12,40,456,103,24,68.02199999999999
15,89,98,104,22,37.71
4,39,63,71,47,26.07
11,59,276,86,12,48.318
7,36,129,23,21,23.324
10,130,177,108,11,49.205999999999996
7,31,415,71,40,60.13099999999999
6,56,502,73,20,69.608
6,96,231,28,14,40.313
3,94,257,82,39,52.431999999999995
8,122,497,15,28,70.351
12,26,59,81,15,22.37
11,55,239,47,32,41.42700000000001
10,49,107,70,49,32.322
3,71,284,85,31,51.928999999999995
5,67,392,63,47,61.59700000000001
15,11,92,104,13,26.985
6,38,268,49,44,43.622
6,14,587,62,28,72.843
10,49,310,91,36,54.008
7,62,255,12,28,38.46900000000001
10,117,134,49,32,38.184
15,86,537,92,11,78.832
14,87,98,90,18,35.092000000000006
3,54,557,65,19,73.502
7,37,520,89,49,74.843
4,117,244,105,49,58.057
8,49,510,101,25,74.01899999999999
13,112,417,120,29,75.33
12,69,342,43,40,53.976000000000006
8,28,92,25,50,22.459999999999997
12,93,394,21,50,60.342
11,69,328,50,25,51.597
5,84,518,81,49,78.873
9,62,448,87,32,68.368
5,11,512,95,15,67.573
5,13,87,13,11,13.744
12,82,478,45,14,66.386
15,51,117,27,18,24.735
9,119,219,63,36,49.207
